"旧库公司ID","旧库名称","结论","对应启用招聘主体","主体范围说明","归属依据","旧招聘入口","本轮检查证据","以往检查证据"
"co_2ed927e972728bc356c1","1688","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://talent.taotian.com/campus/qrcode/apply/positions","retrieved_no_api_link | 2026-09-17T15:28:22.439Z | artifacts/full-registry-review-20260917/discover-portal/78eaac641c9a74f9/discovery.json",""
"co_b2af168d2dc27d22f71d","2026湖南卫视、芒果TV春节联欢晚会","API返回岗位但未证实完整JD","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://app.mokahr.com/campus-recruitment/hntv/150532?locale=zh-CN#/job/404b1b0f-a775-4791-a922-1a1c27ab8f7e","incomplete_body | 见原始记录 | artifacts/full-registry-review-20260917/ats-recovery/manifest.json","artifacts/industry-expansion-20260917/verify-ats-0/manifest.json
artifacts/industry-expansion-20260917/verify-ats-0/co_b2af168d2dc27d22f71d/verification.json"
"co_3395bc3398e42293c61c","212越野车","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.212.com.cn/position.html","retrieved_no_api_link | 2026-09-17T15:28:22.479Z | artifacts/full-registry-review-20260917/discover-portal/f72240faa647b6fe/discovery.json",""
"co_fad6d5264cc915ec1c55","21世纪经济报道","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/YHVZwFhLhhNQVIZomgKTFQ","retrieved_no_api_link | 2026-09-17T15:28:12.007Z | artifacts/full-registry-review-20260917/discover-wechat/84645350b43232fc/discovery.json",""
"co_2e40cea688b84c4fd1f0","32XAI","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/lyU9IrjV7Drk8md1SMttEQ","retrieved_no_api_link | 2026-09-17T15:28:12.051Z | artifacts/full-registry-review-20260917/discover-wechat/08675007b4f685a5/discovery.json",""
"co_c3c15351dace66a798c9","360-校招补录专场","已关联启用招聘来源","360集团","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","当前 API 配置与既有招聘主体同租户/频道；官方门户组织信息及保存的完整 JD 与该主体相符。原候选中的招聘专项、岗位方向或子组织称呼不另计公司。","https://360campus.zhiye.com/jobs","verified_api_full_jd | 2026-09-17T15:25:33.549Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_c3c15351dace66a798c9/verification.json",""
"co_53a4a150f8380bd97bed","360安全服务实习生专项","已关联启用招聘来源","360集团","旧名称与启用招聘主体不同；可能为品牌、活动、子主体或错链，须结合归属说明，不代表旧名称的独立 API 已验证。","当前 API 配置与既有招聘主体同租户/频道；官方门户组织信息及保存的完整 JD 与该主体相符。原候选中的招聘专项、岗位方向或子组织称呼不另计公司。","https://360campus.zhiye.com/jobs?activityGuid=d8fb893c-9235-490f-888b-491f30b93a09","verified_api_full_jd | 2026-09-17T15:25:33.550Z | artifacts/full-registry-review-20260917/verify-uncovered-ats/co_53a4a150f8380bd97bed/verification.json",""
"co_f93e5a384c54e42b317a","360集团","已关联启用招聘来源","360集团","主体已在启用来源中，核验时间见证据。","","https://360campus.zhiye.com/campus/jobs
https://360campus.zhiye.com/intern/jobs
https://360campus.zhiye.com/jobs","",""
"co_90a9830cfbc7d4f0df5a","361°","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://app.mokahr.com/campus-recruitment/361sport/92204#/","empty_api_no_new_route | 见原始记录 | artifacts/full-registry-review-20260917/ats-recovery/manifest.json","artifacts/industry-expansion-20260917/verify-ats-1/manifest.json
artifacts/industry-expansion-20260917/verify-ats-1/co_90a9830cfbc7d4f0df5a/verification.json"
"co_a2b0b6da523eefe057a6","3M","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://www.ajinga.com/recruiting/company/11702/job-list","retrieved_no_api_link | 2026-09-17T15:28:22.480Z | artifacts/full-registry-review-20260917/discover-portal/7425c5b137d75b1c/discovery.json","artifacts/industry-expansion-20260917/verify-other/manifest.json
artifacts/industry-expansion-20260917/verify-other/co_a2b0b6da523eefe057a6/verification.json"
"co_e846ee215e6f7cbb0c5f","3Rivers Trading","已检查但未确认可用API","","已检查所列公开入口；本轮未确认属于该主体的完整 JD API。不等于证明该公司没有 API。","","https://mp.weixin.qq.com/s/2KFRW5KF9QRKz2uRzF51eg
https://mp.weixin.qq.com/s/YuVoHQ3wh3RU1djiEoNWyw","retrieved_no_api_link | 2026-09-17T15:28:12.053Z | artifacts/full-registry-review-20260917/discover-wechat/071baa7fe252d3eb/discovery.json
retrieved_no_api_link | 2026-09-17T15:28:14.723Z | artifacts/full-registry-review-20260917/discover-wechat/7e05315e34682483/discovery.json",""
